Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"Statement - Attribute1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For ITEM1), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-02 20:44:11,2018-07-02 20:44:11,0.029s,PASSED
"Statement - Attribute2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For Item3), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-02 20:44:11,2018-07-02 20:44:11,0.020s,PASSED
"Statement - If (Attribute1 == ""heart-fill"")",Firefox 52.0,,2018-07-02 20:44:11,2018-07-02 20:44:16,5.303s,PASSED
"Statement - If (Attribute2 == ""heart-fill"")",Firefox 52.0,,2018-07-02 20:44:16,2018-07-02 20:44:22,5.299s,PASSED
click,Firefox 52.0,,2018-07-02 20:44:22,2018-07-02 20:44:22,0.199s,PASSED
click,Firefox 52.0,,2018-07-02 20:44:22,2018-07-02 20:44:22,0.185s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:44:22,2018-07-02 20:44:24,2.394s,PASSED
Statement - Exp1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/Verify ITEM1)),Firefox 52.0,,2018-07-02 20:44:24,2018-07-02 20:44:25,0.030s,PASSED
Statement - Exp2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/Verify Item3)),Firefox 52.0,,2018-07-02 20:44:25,2018-07-02 20:44:25,0.027s,PASSED
verifyMatch,Firefox 52.0,,2018-07-02 20:44:25,2018-07-02 20:44:25,0.004s,PASSED
verifyMatch,Firefox 52.0,,2018-07-02 20:44:25,2018-07-02 20:44:25,0.001s,PASSED
click,Firefox 52.0,,2018-07-02 20:44:25,2018-07-02 20:44:25,0.187s,PASSED
Statement - Val1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/View All Section/Verify ITEM1)),Firefox 52.0,,2018-07-02 20:44:25,2018-07-02 20:44:25,0.527s,PASSED
Statement - Val2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/View All Section/Verify ITEM3)),Firefox 52.0,,2018-07-02 20:44:25,2018-07-02 20:44:25,0.020s,PASSED
verifyMatch,Firefox 52.0,,2018-07-02 20:44:25,2018-07-02 20:44:25,0.000s,PASSED
verifyMatch,Firefox 52.0,,2018-07-02 20:44:25,2018-07-02 20:44:25,0.001s,PASSED
closeBrowser,Firefox 52.0,,2018-07-02 20:44:25,2018-07-02 20:44:25,0.180s,PASSED
,,,,,,
Test Cases/DDS-2053/DDS-3898 Verify that the items added from the favorites section should be appended to the already existing items of the cart,Firefox 52.0,,2018-07-02 20:44:25,2018-07-02 20:46:10,1m - 44.926s,PASSED
callTestCase,Firefox 52.0,,2018-07-02 20:44:26,2018-07-02 20:45:49,1m - 23.026s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:45:49,2018-07-02 20:45:57,8.890s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:45:57,2018-07-02 20:45:57,0.024s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:45:57,2018-07-02 20:45:57,0.022s,PASSED
Statement - Actual1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/ITEM1 For 2 Row)),Firefox 52.0,,2018-07-02 20:45:57,2018-07-02 20:45:58,0.023s,PASSED
Statement - Actual2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/Item3 For 3 Row)),Firefox 52.0,,2018-07-02 20:45:58,2018-07-02 20:45:58,0.032s,PASSED
"Statement - Attribute1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For ITEM1), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-02 20:45:58,2018-07-02 20:45:58,0.075s,PASSED
"Statement - Attribute2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For Item3), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-02 20:45:58,2018-07-02 20:45:58,0.024s,PASSED
"Statement - If (Attribute1 == ""heart-fill"")",Firefox 52.0,,2018-07-02 20:45:58,2018-07-02 20:46:03,5.334s,PASSED
"Statement - If (Attribute2 == ""heart-fill"")",Firefox 52.0,,2018-07-02 20:46:03,2018-07-02 20:46:08,5.364s,PASSED
click,Firefox 52.0,,2018-07-02 20:46:08,2018-07-02 20:46:09,0.287s,PASSED
click,Firefox 52.0,,2018-07-02 20:46:09,2018-07-02 20:46:09,0.243s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:46:09,2018-07-02 20:46:10,1.417s,PASSED
Statement - Exp1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/Verify ITEM1)),Firefox 52.0,,2018-07-02 20:46:10,2018-07-02 20:46:10,0.056s,PASSED
Statement - Exp2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/Verify Item3)),Firefox 52.0,,2018-07-02 20:46:10,2018-07-02 20:46:10,0.027s,PASSED
verifyMatch,Firefox 52.0,,2018-07-02 20:46:10,2018-07-02 20:46:10,0.000s,PASSED
