Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"Statement - Attribute2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For Item3), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:05:54,2018-07-05 21:05:54,0.022s,PASSED
"Statement - If (Attribute1 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:05:54,2018-07-05 21:05:59,5.308s,PASSED
"Statement - If (Attribute2 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:05:59,2018-07-05 21:06:04,5.295s,PASSED
click,Firefox 52.0,,2018-07-05 21:06:04,2018-07-05 21:06:04,0.175s,PASSED
click,Firefox 52.0,,2018-07-05 21:06:04,2018-07-05 21:06:05,0.186s,PASSED
click,Firefox 52.0,,2018-07-05 21:06:05,2018-07-05 21:06:06,1.423s,PASSED
click,Firefox 52.0,,2018-07-05 21:06:06,2018-07-05 21:06:06,0.086s,PASSED
verifyElementText,Firefox 52.0,,2018-07-05 21:06:06,2018-07-05 21:06:06,0.051s,PASSED
closeBrowser,Firefox 52.0,,2018-07-05 21:06:06,2018-07-05 21:06:06,0.208s,PASSED
,,,,,,
Test Cases/DDS-2053/DDS-3902 Verify that the item name should be a hyperlink which will navigate to the item details pop-up with the following information Attachment,Firefox 52.0,,2018-07-05 21:06:06,2018-07-05 21:07:29,1m - 22.281s,PASSED
callTestCase,Firefox 52.0,,2018-07-05 21:06:06,2018-07-05 21:07:09,1m - 2.773s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:07:09,2018-07-05 21:07:16,6.541s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:07:16,2018-07-05 21:07:16,0.018s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:07:16,2018-07-05 21:07:16,0.013s,PASSED
Statement - Actual1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/ITEM1 For 2 Row)),Firefox 52.0,,2018-07-05 21:07:16,2018-07-05 21:07:16,0.032s,PASSED
Statement - Actual2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/Item3 For 3 Row)),Firefox 52.0,,2018-07-05 21:07:16,2018-07-05 21:07:16,0.025s,PASSED
"Statement - Attribute1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For ITEM1), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:07:16,2018-07-05 21:07:16,0.021s,PASSED
"Statement - Attribute2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For Item3), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:07:16,2018-07-05 21:07:16,0.011s,PASSED
"Statement - If (Attribute1 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:07:16,2018-07-05 21:07:21,5.310s,PASSED
"Statement - If (Attribute2 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:07:21,2018-07-05 21:07:26,5.303s,PASSED
click,Firefox 52.0,,2018-07-05 21:07:26,2018-07-05 21:07:27,0.193s,PASSED
click,Firefox 52.0,,2018-07-05 21:07:27,2018-07-05 21:07:28,1.373s,PASSED
